"substance_id","parameter","value","unit","status","source_id","note"
"hydrogen","molar_mass",1.008,"g/mol","ok","ciaaw-2021",
"helium","molar_mass",4.002602,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"lithium","molar_mass",6.94,"g/mol","ok","ciaaw-2021",
"beryllium","molar_mass",9.012182,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"boron","molar_mass",10.811,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"carbon","molar_mass",12.011,"g/mol","ok","ciaaw-2021",
"nitrogen","molar_mass",14.007,"g/mol","ok","ciaaw-2021",
"oxygen","molar_mass",15.999,"g/mol","ok","ciaaw-2021",
"fluorine","molar_mass",18.998403162,"g/mol","ok","ciaaw-2021",
"neon","molar_mass",20.1797,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"sodium","molar_mass",22.98976928,"g/mol","ok","ciaaw-2021",
"magnesium","molar_mass",24.305,"g/mol","ok","ciaaw-2021",
"aluminum","molar_mass",26.9815384,"g/mol","ok","ciaaw-2021",
"silicon","molar_mass",28.0855,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"phosphorus","molar_mass",30.973761998,"g/mol","ok","ciaaw-2021",
"sulfur","molar_mass",32.06,"g/mol","ok","ciaaw-2021",
"chlorine","molar_mass",35.45,"g/mol","ok","ciaaw-2021",
"argon","molar_mass",39.948,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"potassium","molar_mass",39.0983,"g/mol","ok","ciaaw-2021",
"calcium","molar_mass",40.078,"g/mol","ok","ciaaw-2021",
"scandium","molar_mass",44.95591,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"titanium","molar_mass",47.867,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"vanadium","molar_mass",50.9415,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"chromium","molar_mass",51.9961,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"manganese","molar_mass",54.938049,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"iron","molar_mass",55.845,"g/mol","ok","ciaaw-2021",
"cobalt","molar_mass",58.933194,"g/mol","ok","ciaaw-2021",
"nickel","molar_mass",58.6934,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"copper","molar_mass",63.546,"g/mol","ok","ciaaw-2021",
"zinc","molar_mass",65.38,"g/mol","ok","ciaaw-2021",
"gallium","molar_mass",69.723,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"germanium","molar_mass",72.64,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"arsenic","molar_mass",74.9216,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"selenium","molar_mass",78.971,"g/mol","ok","ciaaw-2021",
"bromine","molar_mass",79.904,"g/mol","ok","ciaaw-2021",
"krypton","molar_mass",83.798,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"rubidium","molar_mass",85.4678,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"strontium","molar_mass",87.62,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"yttrium","molar_mass",88.90585,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"zirconium","molar_mass",91.224,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"niobium","molar_mass",92.90638,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
"molybdenum","molar_mass",95.96,"g/mol","ok","periodictable-pkg","inherited value, predates the 2009 IUPAC revision; regenerate from CIAAW"
