"substance_id","synonym","context","source_id"
"hydrogen","H","element symbol",
"helium","He","element symbol",
"lithium","Li","element symbol",
"beryllium","Be","element symbol",
"boron","B","element symbol",
"carbon","C","element symbol",
"nitrogen","N","element symbol",
"oxygen","O","element symbol",
"fluorine","F","element symbol",
"neon","Ne","element symbol",
"sodium","Na","element symbol",
"magnesium","Mg","element symbol",
"aluminum","Al","element symbol",
"silicon","Si","element symbol",
"phosphorus","P","element symbol",
"sulfur","S","element symbol",
"chlorine","Cl","element symbol",
"argon","Ar","element symbol",
"potassium","K","element symbol",
"calcium","Ca","element symbol",
"scandium","Sc","element symbol",
"titanium","Ti","element symbol",
"vanadium","V","element symbol",
"chromium","Cr","element symbol",
"manganese","Mn","element symbol",
"iron","Fe","element symbol",
"cobalt","Co","element symbol",
"nickel","Ni","element symbol",
"copper","Cu","element symbol",
"zinc","Zn","element symbol",
"gallium","Ga","element symbol",
"germanium","Ge","element symbol",
"arsenic","As","element symbol",
"selenium","Se","element symbol",
"bromine","Br","element symbol",
"krypton","Kr","element symbol",
"rubidium","Rb","element symbol",
"strontium","Sr","element symbol",
"yttrium","Y","element symbol",
"zirconium","Zr","element symbol",
"niobium","Nb","element symbol",
"molybdenum","Mo","element symbol",
"technetium","Tc","element symbol",
"ruthenium","Ru","element symbol",
"rhodium","Rh","element symbol",
"palladium","Pd","element symbol",
"silver","Ag","element symbol",
"cadmium","Cd","element symbol",
"indium","In","element symbol",
"tin","Sn","element symbol",
"antimony","Sb","element symbol",
"tellurium","Te","element symbol",
"iodine","I","element symbol",
"xenon","Xe","element symbol",
"cesium","Cs","element symbol",
"barium","Ba","element symbol",
"lanthanum","La","element symbol",
"cerium","Ce","element symbol",
"praseodymium","Pr","element symbol",
"neodymium","Nd","element symbol",
"promethium","Pm","element symbol",
"samarium","Sm","element symbol",
"europium","Eu","element symbol",
"gadolinium","Gd","element symbol",
"terbium","Tb","element symbol",
"dysprosium","Dy","element symbol",
"holmium","Ho","element symbol",
"erbium","Er","element symbol",
"thulium","Tm","element symbol",
"ytterbium","Yb","element symbol",
"lutetium","Lu","element symbol",
"hafnium","Hf","element symbol",
"tantalum","Ta","element symbol",
"wolfram","W","element symbol",
"rhenium","Re","element symbol",
"osmium","Os","element symbol",
"iridium","Ir","element symbol",
"platinum","Pt","element symbol",
"gold","Au","element symbol",
"mercury","Hg","element symbol",
"thallium","Tl","element symbol",
"lead","Pb","element symbol",
"bismuth","Bi","element symbol",
"polonium","Po","element symbol",
"astatine","At","element symbol",
"radon","Rn","element symbol",
"francium","Fr","element symbol",
"radium","Ra","element symbol",
"actinium","Ac","element symbol",
"thorium","Th","element symbol",
"protactinium","Pa","element symbol",
"uranium","U","element symbol",
"neptunium","Np","element symbol",
"plutonium","Pu","element symbol",
"americium","Am","element symbol",
"curium","Cm","element symbol",
"berkelium","Bk","element symbol",
