"substance_id","name","formula","cas","inchikey","pubchem_cid"
"hydrogen","Hydrogen","H",,,
"helium","Helium","He",,,
"lithium","Lithium","Li",,,
"beryllium","Beryllium","Be",,,
"boron","Boron","B",,,
"carbon","Carbon","C",,,
"nitrogen","Nitrogen","N",,,
"oxygen","Oxygen","O",,,
"fluorine","Fluorine","F",,,
"neon","Neon","Ne",,,
"sodium","Sodium","Na",,,
"magnesium","Magnesium","Mg",,,
"aluminum","Aluminum","Al",,,
"silicon","Silicon","Si",,,
"phosphorus","Phosphorus","P",,,
"sulfur","Sulfur","S",,,
"chlorine","Chlorine","Cl",,,
"argon","Argon","Ar",,,
"potassium","Potassium","K",,,
"calcium","Calcium","Ca",,,
"scandium","Scandium","Sc",,,
"titanium","Titanium","Ti",,,
"vanadium","Vanadium","V",,,
"chromium","Chromium","Cr",,,
"manganese","Manganese","Mn",,,
"iron","Iron","Fe",,,
"cobalt","Cobalt","Co",,,
"nickel","Nickel","Ni",,,
"copper","Copper","Cu",,,
"zinc","Zinc","Zn",,,
"gallium","Gallium","Ga",,,
"germanium","Germanium","Ge",,,
"arsenic","Arsenic","As",,,
"selenium","Selenium","Se",,,
"bromine","Bromine","Br",,,
"krypton","Krypton","Kr",,,
"rubidium","Rubidium","Rb",,,
"strontium","Strontium","Sr",,,
"yttrium","Yttrium","Y",,,
"zirconium","Zirconium","Zr",,,
"niobium","Niobium","Nb",,,
"molybdenum","Molybdenum","Mo",,,
"technetium","Technetium","Tc",,,
"ruthenium","Ruthenium","Ru",,,
"rhodium","Rhodium","Rh",,,
"palladium","Palladium","Pd",,,
"silver","Silver","Ag",,,
"cadmium","Cadmium","Cd",,,
"indium","Indium","In",,,
"tin","Tin","Sn",,,
"antimony","Antimony","Sb",,,
"tellurium","Tellurium","Te",,,
"iodine","Iodine","I",,,
"xenon","Xenon","Xe",,,
"cesium","Cesium","Cs",,,
"barium","Barium","Ba",,,
"lanthanum","Lanthanum","La",,,
"cerium","Cerium","Ce",,,
"praseodymium","Praseodymium","Pr",,,
"neodymium","Neodymium","Nd",,,
"promethium","Promethium","Pm",,,
"samarium","Samarium","Sm",,,
"europium","Europium","Eu",,,
"gadolinium","Gadolinium","Gd",,,
"terbium","Terbium","Tb",,,
"dysprosium","Dysprosium","Dy",,,
"holmium","Holmium","Ho",,,
"erbium","Erbium","Er",,,
"thulium","Thulium","Tm",,,
"ytterbium","Ytterbium","Yb",,,
"lutetium","Lutetium","Lu",,,
"hafnium","Hafnium","Hf",,,
"tantalum","Tantalum","Ta",,,
"wolfram","Wolfram","W",,,
"rhenium","Rhenium","Re",,,
"osmium","Osmium","Os",,,
"iridium","Iridium","Ir",,,
"platinum","Platinum","Pt",,,
"gold","Gold","Au",,,
"mercury","Mercury","Hg",,,
"thallium","Thallium","Tl",,,
"lead","Lead","Pb",,,
"bismuth","Bismuth","Bi",,,
"polonium","Polonium","Po",,,
"astatine","Astatine","At",,,
"radon","Radon","Rn",,,
"francium","Francium","Fr",,,
"radium","Radium","Ra",,,
"actinium","Actinium","Ac",,,
"thorium","Thorium","Th",,,
"protactinium","Protactinium","Pa",,,
"uranium","Uranium","U",,,
"neptunium","Neptunium","Np",,,
"plutonium","Plutonium","Pu",,,
"americium","Americium","Am",,,
"curium","Curium","Cm",,,
"berkelium","Berkelium","Bk",,,
"californium","Californium","Cf",,,
"einsteinium","Einsteinium","Es",,,
"fermium","Fermium","Fm",,,
"mendelevium","Mendelevium","Md",,,
"nobelium","Nobelium","No",,,
"lawrencium","Lawrencium","Lr",,,
"rutherfordium","Rutherfordium","Rf",,,
"dubnium","Dubnium","Db",,,
"seaborgium","Seaborgium","Sg",,,
"bohrium","Bohrium","Bh",,,
"hassium","Hassium","Hs",,,
"meitnerium","Meitnerium","Mt",,,
"darmstadtium","Darmstadtium","Ds",,,
"roentgenium","Roentgenium","Rg",,,
"copernicium","Copernicium","Cn",,,
"ununtrium","Ununtrium","Uut",,,
"ununquadium","Ununquadium","Uuq",,,
"ununpentium","Ununpentium","Uup",,,
"ununhexium","Ununhexium","Uuh",,,
"glucose","D-Glucose","C6H12O6","50-99-7","WQZGKKKJIJFFOK-GASJEMHNSA-N","5793"
"galactose","D-Galactose","C6H12O6",,"WQZGKKKJIJFFOK-SVZMEOIVSA-N","6036"
"fructose","D-Fructose","C6H12O6",,"LKDRXBCSQODPBY-VRPWFDPXSA-N","2723872"
"cholesterol","Cholesterol","C27H46O","57-88-5","HVYWMOMLDIMFJA-DPAQBDIFSA-N","5997"
"triolein","Triolein","C57H104O6",,"PHYFQTYBJUILEZ-IUPFWZBJSA-N","5497163"
"bilirubin","Bilirubin","C33H36N4O6",,"BPYKTIZUTYGOLE-IFADSCNNSA-N","5280352"
"3_hydroxybutyrate","3-Hydroxybutyric acid","C4H8O3",,"WHBMMWSBFZVSSR-UHFFFAOYSA-N","441"
"acetoacetic_acid","Acetoacetic acid","C4H6O3",,"WDJHALXBUFZDSR-UHFFFAOYSA-N","96"
"creatinine","Creatinine","C4H7N3O",,"DDRJAANPRJIHGJ-UHFFFAOYSA-N","588"
"creatine","Creatine","C4H9N3O2",,"CVSVTCORWBXHQV-UHFFFAOYSA-N","586"
"urea","Urea","CH4N2O",,"XSQUKJJJFZCRTK-UHFFFAOYSA-N","1176"
"uric_acid","Uric acid","C5H4N4O3",,"LEHOTFFKMJEONL-UHFFFAOYSA-N","1175"
"lactic_acid","Lactic acid","C3H6O3",,"JVTAAEKCZFNVCJ-UHFFFAOYSA-N","612"
"pyruvic_acid","Pyruvic acid","C3H4O3",,"LCTONWCANYUPML-UHFFFAOYSA-N","1060"
"oxalic_acid","Oxalic acid","C2H2O4",,"MUBZPKHOEPUJKR-UHFFFAOYSA-N","971"
"citric_acid","Citric acid","C6H8O7",,"KRKNYBCHXYNGOX-UHFFFAOYSA-N","311"
"glycerol","Glycerol","C3H8O3",,"PEDCQBHIVMGVHV-UHFFFAOYSA-N","753"
"homocysteine","L-Homocysteine","C4H9NO2S",,"FFFHZYDWPBMWHY-VKHMYHEASA-N","91552"
"ammonia","Ammonia","H3N",,"QGZKDVFQNNGYKY-UHFFFAOYSA-N","222"
"dihydrogen","Dihydrogen","H2",,"UFHFLCQGNIYNRP-UHFFFAOYSA-N","783"
"dinitrogen","Dinitrogen","N2",,"IJGRMHOSHXDMSA-UHFFFAOYSA-N","947"
"dioxygen","Dioxygen","O2",,"MYMOFIZGZYHOMD-UHFFFAOYSA-N","977"
"difluorine","Difluorine","F2",,"PXGOKWXKJXAPGV-UHFFFAOYSA-N","24524"
